애플 앱스토어 랭킹,,,,,,,,,구글 플레이 랭킹
AppAnnie (2019-11-30),,,Top Free,,Top Grossing,,,,
75,Touch the wall,Voodoo,,,Yu-Gi-Oh! Duel Links,KONAMI,,,
76,Get aCC_e55,UnderAIR,,,Klondike Adventures,Vizor,,,
77,Archery Go - Bow&ArrowKing,Solo X,,,Top Drives – Car Cards Racing,HutchGames,,,
78,Home Design Makeover,Storm8,,,War and Order,Camel Games,,,
79,Om Nom: Merge,ZeptoLab,,,심즈 프리플레이,Electronic Arts,,,
80,Magic Tiles Piano and Vocal,Rhythm Of Innovation,,,Wordscapes,PeopleFun,,,
81,Run Race 3D,Good Job Games,,,Cash Frenzy - Slots Casino,Bole Games,,,
82,Hop Ball 3D,Amanotes,,,Hustle Castle: FantasyKingdom,MY.COM,,,
83,Kim Kardashian: Hollywood,Glu,,,Cooking Craze: Restaurant Game,Big Fish Games,,,
84,Tiles Hop - EDM Rush,Amanotes,,,Mortal Kombat,Warner Bros,,,
85,Pong Party 3D,Ceyhun Tasci,,,MARVEL Future Fight,Netmarble,,,
86,Golf Battle,Miniclip,,,Angry Birds Dream Blast,Rovio,,,
87,Spin Day,Viker,,,Dragon City Mobile,Social Point,,,
88,Drop & Smash,Kwalee,,,Candy Crush Friends Saga,King,,,
89,Coin Master,Moon Active,,,Hay Day,Supercell,,,
90,Traffic Run!,Geisha Tokyo,,,War Robots Multiplayer Battles,Pixonic,,,
91,Saw Wood,Yso Corp,,,Cooking Diary® Restaurant Game,MyTona,,,
92,Bricks n Balls,Cheetah Mobile,,,Angry Birds 2,Rovio,,,
93,My Horse Stories,Crazy Labs,,,Jurassic World™: The Game,Ludia,,,
94,Episode - Choose Your Story,Episode Interactive,,,Fishing Clash: Fish Game 2019,Ten Square Games,,,
95,Psych! Outwit Your Friends,Warner Bros,,,State of Survival: Zombie War,KingsGroup,,,
96,slither.io,Lowtech Studios,,,BoardKings™,Jelly Button,,,
97,Wordscapes,PeopleFun,,,Disney MagicKingdoms,Gameloft,,,
98,Crowd City,Voodoo,,,Monster Legends,Social Point,,,
99,Draw it,Kwalee,,,Huuuge Casino Slots Vegas 777,Huuuge Games,,,
100,Off the Hook!,Popcore,,,NARUTO X BORUTO NINJA VOLTAGE,BANDAI NAMCO Entertainment,,,
